# Chunk-averaged data for fix 2 and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_temp
120 20 767.9999999999999
  1 0.025 53.64 321.551
  2 0.075 42.36 323.928
  3 0.125 32 307.58
  4 0.175 32 307.128
  5 0.225 32 289.117
  6 0.275 32 323.633
  7 0.325 48.66 332.285
  8 0.375 47.28 321.137
  9 0.425 32.06 300.521
  10 0.475 32 278.87
  11 0.525 32 266.961
  12 0.575 32 262.979
  13 0.625 36.02 264.482
  14 0.675 59.48 267.587
  15 0.725 32.5 257.71
  16 0.775 32 291.177
  17 0.825 32 254.764
  18 0.875 32 265.487
  19 0.925 33.72 248.648
  20 0.975 62.28 246.998
240 20 768
  1 0.025 57.86 320.082
  2 0.075 38.14 387.457
  3 0.125 32 362.683
  4 0.175 32 326.676
  5 0.225 32 337.954
  6 0.275 32 321.878
  7 0.325 46.8 306.31
  8 0.375 49.2 292.857
  9 0.425 32 311.688
  10 0.475 32 304.838
  11 0.525 32 275.512
  12 0.575 32 293.846
  13 0.625 38.62 281.016
  14 0.675 57.22 278.142
  15 0.725 32.16 284.587
  16 0.775 32 288.326
  17 0.825 32 270.501
  18 0.875 32 249.284
  19 0.925 34.02 254.402
  20 0.975 61.98 240.638
360 20 768
  1 0.025 55.02 364.085
  2 0.075 40.98 380.416
  3 0.125 32 330.202
  4 0.175 32 350.158
  5 0.225 32 339.006
  6 0.275 32 346.579
  7 0.325 45.26 307
  8 0.375 50.58 306.685
  9 0.425 32.16 281.658
  10 0.475 32 268.938
  11 0.525 32 250.004
  12 0.575 32 258.655
  13 0.625 35.14 273.368
  14 0.675 58.98 275.085
  15 0.725 33.88 273.552
  16 0.775 32 262.663
  17 0.825 32 257.566
  18 0.875 32 253.646
  19 0.925 32.6 251.571
  20 0.975 63.4 232.049
480 20 767.9999999999999
  1 0.025 53.9 362.647
  2 0.075 42.08 399.992
  3 0.125 32.02 363.816
  4 0.175 32 302.358
  5 0.225 32 286.534
  6 0.275 32.02 306.749
  7 0.325 41.66 345.566
  8 0.375 54.12 277.881
  9 0.425 32.2 293.135
  10 0.475 32 308.229
  11 0.525 32 291.114
  12 0.575 32 276.237
  13 0.625 35.16 283.307
  14 0.675 60.66 267.603
  15 0.725 32.18 278.572
  16 0.775 32 245.039
  17 0.825 32 250.376
