# Time-averaged data for fix average
# TimeStep c_Tchunk_1 c_Tchunk_2 c_Tchunk_3 c_Tchunk_4 c_Tchunk_5 c_Tchunk_6 c_Tchunk_7 c_Tchunk_8 c_Tchunk_9 c_Tchunk_10 c_Tchunk_11 c_Tchunk_12 c_Tchunk_13 c_Tchunk_14 c_Tchunk_15 c_Tchunk_16 c_Tchunk_17 c_Tchunk_18 c_Tchunk_19 c_Tchunk_20
400 312.43 338.369 323.01 315.865 301.085 297.762 286.317 288.63 290.691 294.867 292.663 295.316 302.139 277.814 285.85 298.677 285.181 297.42 285.102 288.422
800 343.532 352.728 326.124 304.551 305.161 294.232 300.803 307.818 305.227 302.273 309.699 301.276 302.744 292.035 284.908 282.109 270.438 271.592 245.428 260.676
1200 346.836 370.925 329.548 309.274 309.91 302.332 309.18 305.163 310.633 305.91 291.508 290.783 286.442 282.279 283.479 268.593 262.896 258.657 241.661 252.157
1600 373.926 394.948 355.143 326.458 316.256 294.771 291.005 288.339 297.241 287.061 283.781 285.502 278.23 276.905 271.715 270.986 263.564 246.162 243.731 263.983
2000 392.959 407.081 388.498 364.165 353.483 332.986 313.696 307.834 305.194 285.235 273.749 269.125 273.482 273.688 254.351 262.298 255.517 250.414 231.713 245.841
2400 402.207 414.313 379.7 354.737 353.757 319.97 317.546 300.796 290.995 279.049 274.038 272.478 262.916 264.529 262.533 252.127 250.823 241.476 233.716 248.424
2800 407.155 406.925 385.301 346.677 331.76 317.137 320.457 305.676 304.756 296.562 289.042 277.43 270.133 257.212 258.602 238.959 243.689 237.6 221.89 235.391
3200 396.291 411.369 363.162 347.139 334.421 321.706 309.905 313.29 309.044 305.277 275.222 272.197 268.455 264.763 253.933 246.952 240.779 232.91 213.422 220.526
3600 407.823 406.108 375.261 355.522 333.594 315.925 309.549 295.948 299.498 288.565 273.653 268.49 262.296 251.056 252.681 244.77 239.635 235.351 215.315 233.675
4000 425.969 432.611 410.448 392.993 363.371 348.038 327.763 313.142 303.469 289.345 267.156 250.716 257.738 251.651 249.106 242.147 241.15 230.576 219.019 221.033
