ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
768
ITEM: BOX BOUNDS ss pp pp
-6.6502451872036172e-01 4.2278819267736196e+01
0.0000000000000000e+00 1.4440000000000000e+01
0.0000000000000000e+00 1.4440000000000000e+01
ITEM: ATOMS id vx vy vz
3 -0.0969055 2.68815 1.01681
6 -2.24583 0.596486 3.21315
20 1.13426 -3.47953 1.20091
21 -0.716008 0.142395 -1.8554
67 0.756816 1.13548 0.0679523
85 -2.13537 -1.43835 -1.89397
69 -4.53707 -2.24091 0.262598
70 -1.81387 -1.36533 0.510474
84 -3.8172 2.82596 0.893761
149 -3.94865 -0.446398 2.00947
131 2.60755 -1.14581 3.67367
133 -0.342526 -1.16456 4.68685
66 -2.07545 1.28834 -0.705846
129 -2.67894 -2.40259 1.12285
68 -0.315843 -2.61095 -0.383498
145 0.391798 0.344953 -2.33774
134 -1.17983 2.11203 1.22529
148 -0.484824 0.353948 -0.301061
195 -3.89709 1.5203 0.798102
213 -0.493907 -1.69055 -0.394856
197 -2.72797 0.198002 -1.01316
130 -1.10068 -3.58454 1.71035
209 -2.70938 -1.8112 -0.754964
198 -1.28954 0.18242 1.77001
212 -0.0855416 1.70735 1.02591
259 -0.160795 2.10653 -1.38822
277 -0.601409 0.345415 0.549623
196 -0.658385 0.560338 -0.822396
273 2.2678 -2.27175 2.06708
194 -2.21104 -1.10679 1.37894
262 2.02773 -4.62387 1.40804
276 -1.50652 -0.168541 -0.856041
323 -1.40751 0.999523 -0.370608
341 3.83974 0.929725 -3.26648
258 1.05416 2.29558 -1.27756
260 -2.26969 -3.53549 1.43372
326 0.559869 -3.30661 -0.980886
340 0.319402 -3.3296 -1.44288
387 -0.719285 -1.88455 -1.37546
405 -3.09317 -1.8657 -2.93008
322 -3.33858 -3.10885 -0.0663345
389 2.81362 1.02696 -0.787855
390 4.2345 1.10472 2.05714
404 1.59298 0.547038 -0.878876
451 0.059468 -0.545137 -0.22661
469 4.17218 -0.0219355 2.98109
453 4.1312 -1.1951 2.10228
454 0.564888 1.37178 -0.603025
468 4.37484 0.838377 -0.627277
515 -1.38479 -0.105291 2.43136
533 1.46981 -0.63635 1.47221
517 -2.48432 3.39851 -0.976267
452 -1.68248 2.93845 -0.290434
529 -2.25455 0.557096 -0.693563
518 -2.49212 0.944295 0.828601
532 3.20658 4.18444 1.70574
579 -0.742602 -1.93657 1.3594
597 3.78641 0.720664 -5.08713
577 1.75148 -3.0679 -0.397295
581 -0.515119 -0.0373086 -2.64686
593 -1.33104 0.393434 -1.99958
582 3.85241 -0.242454 -0.572701
596 2.49499 1.38398 -0.883598
643 0.88036 3.77837 -4.14497
661 0.609119 -2.81961 2.55929
646 0.900016 -0.458622 -0.47989
660 1.68211 -0.417467 -1.62755
580 2.31503 -1.41709 -2.35684
645 -0.673864 0.270242 -3.1301
644 0.778562 1.40787 0.723308
642 1.9632 2.07159 -0.339522
641 0.744603 1.38572 -0.948207
707 -0.593032 1.79293 -0.920164
710 0.321343 -1.65534 -1.00307
724 1.45078 0.949807 1.01897
725 -1.37486 2.97139 0.218867
705 0.849688 2.04843 -2.28832
709 -0.9171 1.31645 3.02159
19 0.542166 -0.941427 1.11903
22 -1.32672 -1.98531 -2.09568
35 -0.648995 -1.46621 -4.09243
36 2.36139 -1.47125 -3.89936
37 0.313339 -1.43864 -0.14257
38 -0.668856 1.1555 0.140078
34 0.614169 1.35294 -0.412666
83 -2.70541 0.298579 -0.802734
99 -1.0175 -1.25523 -4.22336
101 -1.33447 -0.884663 2.09577
97 -1.68297 -1.03161 -1.88075
33 -3.88495 -0.0322729 -1.94507
86 -1.90938 1.82856 0.37164
100 -1.22952 -0.6446 -1.38076
102 0.737718 1.22114 -0.0350225
147 -0.515861 -0.898047 -0.579607
163 1.23071 0.188225 1.03112
165 -0.485429 0.334608 -1.00691
82 0.901698 -1.58228 1.97161
161 -0.724094 -1.96392 1.10253
150 1.65211 -3.09686 0.725271
164 -1.68053 1.43003 -0.631538
166 0.956695 2.67392 1.61135
211 -2.64694 2.74282 -0.586473
227 -0.313699 -3.86191 0.00889469
229 3.37739 2.09833 -2.09622
225 1.57095 -2.22008 -3.35728
146 -1.77681 -1.45839 1.58242
162 0.944932 1.77079 1.49645
214 -0.165609 1.00617 2.09258
228 -0.0379778 0.0172674 -0.454625
230 -4.10372 0.00496306 1.01067
275 -1.68361 -0.150848 1.53588
291 0.230181 2.15529 -0.759229
